date,product_id,category_id,store_id,historical_sales,price,promotion_flag,holiday_flag,economic_index,target_demand
02-01-2022,1043,4,9,16,48.29,0,0,84.07,8
02-01-2022,1012,4,2,25,44.01,0,0,106.87,22
03-01-2022,1003,5,4,26,9.44,1,0,104.98,29
03-01-2022,1005,4,1,23,5.42,1,1,92.75,22
04-01-2022,1011,1,5,12,21.86,1,1,103.6,27
05-01-2022,1025,4,6,18,38.99,0,0,101.52,20
06-01-2022,1012,3,1,23,21.57,0,0,98.52,21
07-01-2022,1009,3,4,19,18.8,0,0,95.27,11
08-01-2022,1023,1,6,27,7.78,1,1,112.94,32
08-01-2022,1026,5,10,18,33.3,0,0,85.58,16
10-01-2022,1023,5,7,18,37.12,1,0,98.67,29
10-01-2022,1038,2,4,19,43,0,0,104.67,21
10-01-2022,1033,4,8,17,21.1,0,1,98.64,17
11-01-2022,1049,3,8,18,8.92,0,0,93.43,22
12-01-2022,1046,3,2,14,5.52,0,0,92.11,9
14-01-2022,1011,5,5,15,18.19,0,0,80.42,6
16-01-2022,1024,5,7,17,45.98,1,0,95.16,22
17-01-2022,1031,1,6,16,9.8,1,0,106.16,34
17-01-2022,1042,2,7,12,41.8,0,0,106.83,7
17-01-2022,1011,3,2,19,11.25,0,0,112.37,16
19-01-2022,1011,3,9,22,41.69,1,0,110.34,31
19-01-2022,1026,3,4,12,40.74,0,0,85.57,16
19-01-2022,1021,2,10,14,44.73,0,0,97.04,25
19-01-2022,1010,5,10,20,26.83,0,0,101.3,19
21-01-2022,1026,5,6,16,13.17,0,0,112.15,16
22-01-2022,1019,3,1,20,24.98,0,0,95,20
22-01-2022,1045,4,1,18,24.24,0,0,89.85,16
23-01-2022,1038,1,9,27,12.59,1,0,89.31,43
25-01-2022,1024,2,5,17,20.34,0,0,104.81,14
26-01-2022,1030,1,2,19,37.84,0,0,93.56,20
28-01-2022,1010,5,3,23,22.34,1,0,91.17,31
29-01-2022,1043,5,7,21,24.78,1,1,91.62,37
02-02-2022,1017,4,1,33,22.47,0,0,105.18,31
04-02-2022,1025,1,6,16,32.5,1,0,105.97,33
05-02-2022,1029,2,3,20,5.93,0,0,92.06,23
06-02-2022,1043,2,1,12,21.2,0,0,101.09,6
08-02-2022,1044,1,9,19,16.33,0,0,95.12,17
08-02-2022,1018,1,3,14,18.64,0,0,92.96,16
08-02-2022,1000,3,10,15,34.79,0,0,94.25,15
10-02-2022,1019,2,1,20,34.35,0,0,86.93,25
10-02-2022,1044,1,2,19,12.79,1,0,103.99,25
12-02-2022,1048,3,7,23,34.08,0,0,95.03,23
12-02-2022,1039,1,8,13,19.02,1,1,88.42,20
13-02-2022,1035,5,5,29,28.54,0,0,99.27,21
14-02-2022,1030,5,8,24,36.72,0,0,99.05,21
16-02-2022,1032,5,7,18,29.76,1,1,103.91,24
19-02-2022,1021,1,6,19,24.57,0,0,73.71,14
22-02-2022,1031,4,9,14,12.11,0,1,100.96,12
22-02-2022,1014,2,4,14,7.25,0,0,93.41,17
23-02-2022,1047,2,4,18,40.82,0,0,100.81,15
23-02-2022,1049,2,2,20,17.01,0,0,122.48,22
24-02-2022,1032,2,9,15,23.44,0,0,114.44,19
25-02-2022,1008,5,2,15,49.37,0,0,83.58,14
02-03-2022,1003,4,9,23,12.2,0,0,106.35,20
02-03-2022,1015,3,1,16,23.94,0,1,98.26,14
02-03-2022,1040,5,10,17,23.72,0,1,99.93,16
04-03-2022,1034,5,5,19,12.68,1,0,111.45,36
06-03-2022,1020,2,6,18,44.98,0,0,115.68,22
08-03-2022,1028,4,6,23,25.5,0,0,104.87,21
08-03-2022,1008,1,7,26,22.54,1,0,86.23,32
09-03-2022,1041,3,8,19,20.7,1,0,102.29,30
09-03-2022,1040,3,2,21,37.27,0,0,98.08,17
13-03-2022,1040,3,4,15,10.88,0,0,90.59,16
13-03-2022,1010,3,4,22,46.01,0,0,112.56,21
13-03-2022,1018,5,1,18,13,0,0,115.87,18
14-03-2022,1008,5,1,22,37.62,0,0,120.97,20
14-03-2022,1033,3,2,13,42.6,0,1,87.39,10
14-03-2022,1020,5,6,18,36.98,0,0,84.7,20
16-03-2022,1029,2,10,14,6.45,0,0,91.52,6
16-03-2022,1020,5,5,25,21.97,0,1,90.04,24
17-03-2022,1039,1,6,19,12.56,0,0,111.21,20
19-03-2022,1015,2,2,20,6.21,0,0,91.54,14
20-03-2022,1016,2,4,15,14.2,1,0,94.84,30
24-03-2022,1038,1,4,23,6.52,0,0,110.52,21
25-03-2022,1042,2,4,19,40.6,1,0,119,27
27-03-2022,1046,5,3,27,12.03,1,1,91.9,35
28-03-2022,1005,1,6,21,42.71,1,0,100.42,36
31-03-2022,1006,4,1,23,10.8,0,0,111.32,19
31-03-2022,1008,2,2,19,23.99,1,0,103.27,23
31-03-2022,1029,1,1,19,8.93,0,0,91.42,20
01-04-2022,1017,1,3,23,10.34,1,1,91.26,38
05-04-2022,1043,1,4,20,31.95,0,0,101.46,14
05-04-2022,1044,1,5,21,7.7,0,0,96.53,17
08-04-2022,1024,3,10,14,17.4,1,0,101.04,27
09-04-2022,1012,2,10,27,7.63,1,0,86.33,27
16-04-2022,1037,5,5,14,13.45,0,0,96.97,16
16-04-2022,1022,5,1,20,21.16,0,0,79.63,9
20-04-2022,1003,4,6,26,14.1,1,0,83.46,40
23-04-2022,1024,2,1,20,29.38,1,1,97.45,30
24-04-2022,1045,1,7,21,32.88,0,1,98.16,20
25-04-2022,1000,4,6,14,46.52,1,0,110.41,28
25-04-2022,1003,2,10,19,17.29,0,0,100.88,13
26-04-2022,1040,1,8,14,36.41,0,0,103.58,16
26-04-2022,1040,1,5,29,12.39,0,1,93.57,23
26-04-2022,1005,5,9,18,28.38,1,0,116.66,24
27-04-2022,1017,1,7,34,8.96,0,0,97.4,40
27-04-2022,1013,2,2,21,22.76,0,0,95.95,20
28-04-2022,1009,2,1,23,49.69,0,1,98.21,26
30-04-2022,1035,2,2,18,36.53,0,0,96.79,20
01-05-2022,1032,2,5,18,9.45,0,0,106.59,9
04-05-2022,1021,5,6,20,14.55,0,0,121.16,16
05-05-2022,1030,2,6,23,23.55,1,0,106.81,30
06-05-2022,1033,5,5,21,45.37,1,1,90.82,32
06-05-2022,1041,1,1,21,18.3,0,0,104.54,24
07-05-2022,1049,5,5,26,8.89,0,0,101.27,27
08-05-2022,1046,2,9,21,25,0,0,111.44,22
08-05-2022,1022,3,1,20,26.47,0,0,97.76,20
09-05-2022,1016,5,5,18,29.67,0,1,106.24,17
09-05-2022,1040,5,7,21,44.31,0,0,113.84,29
10-05-2022,1028,5,7,23,41.95,0,0,95.31,18
10-05-2022,1008,3,6,17,10.59,0,0,99.95,22
11-05-2022,1025,1,5,16,45.61,0,1,104.96,14
11-05-2022,1017,1,2,18,29.23,1,0,108.76,33
14-05-2022,1026,2,3,18,43.59,0,0,98.03,17
14-05-2022,1000,5,4,16,27.26,1,0,95.21,31
15-05-2022,1012,5,7,22,34.96,0,0,110.31,15
17-05-2022,1040,5,7,23,32.69,0,0,91.69,32
17-05-2022,1016,5,3,21,47.97,0,1,111.63,21
18-05-2022,1048,2,2,17,15.9,0,1,111.3,15
18-05-2022,1025,3,5,14,43.03,0,1,112.8,13
19-05-2022,1002,3,9,15,46.58,0,0,102.88,11
20-05-2022,1006,1,10,22,46.22,1,0,107.37,34
21-05-2022,1021,5,9,16,32.58,1,1,94.66,30
21-05-2022,1049,3,4,21,34.7,0,0,86.64,26
22-05-2022,1025,5,10,18,21.33,0,0,83.66,17
22-05-2022,1011,1,4,17,16.72,1,0,100.21,24
23-05-2022,1031,1,4,21,23.63,1,0,84.51,33
24-05-2022,1034,3,10,17,14.72,0,0,98.18,17
24-05-2022,1009,3,1,19,14.54,0,0,105.64,20
26-05-2022,1009,2,9,28,8.37,0,0,98.35,33
26-05-2022,1037,5,5,18,20.89,0,0,108.47,18
27-05-2022,1028,4,2,20,28.72,1,0,121.13,31
27-05-2022,1045,3,7,14,11.14,1,0,90.4,23
28-05-2022,1023,1,6,21,19.87,0,0,112.3,23
28-05-2022,1033,3,4,28,30.75,0,1,97.84,30
29-05-2022,1035,4,4,23,34.46,1,1,98.47,33
29-05-2022,1000,2,3,20,19.85,0,0,94.9,22
31-05-2022,1035,5,6,19,34.43,0,0,99.44,17
02-06-2022,1046,1,8,19,9.22,1,0,99.77,31
03-06-2022,1008,2,6,15,34.21,0,0,96.12,17
03-06-2022,1024,4,10,19,19.23,0,0,111.62,22
03-06-2022,1043,1,1,19,41.27,1,0,91.72,27
04-06-2022,1016,5,7,23,9.69,0,0,110.84,25
05-06-2022,1025,5,7,26,39.49,1,0,109.19,28
05-06-2022,1041,1,6,16,38.12,0,0,93.38,12
08-06-2022,1025,5,5,20,20.73,1,0,91.13,27
08-06-2022,1022,2,2,20,9.93,0,0,106.65,19
09-06-2022,1017,2,1,15,27.35,0,0,87.43,12
10-06-2022,1010,4,8,22,29.3,0,0,87.95,20
10-06-2022,1013,1,1,27,6.95,1,0,112.32,34
11-06-2022,1047,1,4,20,11.4,0,0,106.32,25
11-06-2022,1035,3,7,22,33.62,0,0,114.58,15
11-06-2022,1026,4,10,29,14.9,0,0,115.05,36
12-06-2022,1032,1,8,16,22.37,0,0,115.59,14
13-06-2022,1009,5,6,21,35.53,0,0,91.45,13
14-06-2022,1041,5,5,19,15.16,1,0,112.54,27
15-06-2022,1036,5,1,22,12.71,0,1,89.89,24
15-06-2022,1007,3,9,14,41.76,0,1,109.75,11
15-06-2022,1026,1,9,32,25.64,0,0,106.6,28
16-06-2022,1035,1,3,20,46.96,0,0,99.56,26
21-06-2022,1009,4,2,19,41.09,0,0,100.8,15
23-06-2022,1041,5,3,27,35.08,0,0,91.71,33
24-06-2022,1021,3,5,17,14.19,0,0,96.04,20
25-06-2022,1032,1,10,25,35.8,0,0,89.41,23
02-07-2022,1042,4,6,23,30.63,0,0,90.69,23
02-07-2022,1045,2,4,22,49.67,0,0,92.11,21
03-07-2022,1008,3,5,20,10.04,1,0,101.6,33
06-07-2022,1008,3,1,21,32.32,0,0,83.55,23
06-07-2022,1015,3,2,23,8.5,0,0,103.82,23
06-07-2022,1009,1,2,19,6.19,0,0,87.85,17
06-07-2022,1024,3,3,17,9.92,1,0,95.23,21
07-07-2022,1017,5,6,22,5.09,1,0,110.13,29
09-07-2022,1019,1,7,22,34.59,0,0,80.32,28
09-07-2022,1042,5,3,21,14.63,0,0,98.6,17
10-07-2022,1040,3,6,18,17.08,0,0,106.1,22
11-07-2022,1014,1,3,15,22.63,1,0,106.89,27
11-07-2022,1041,4,5,22,34,0,0,103.77,16
11-07-2022,1019,1,5,18,9.62,0,1,102.58,17
12-07-2022,1027,4,1,16,14.55,0,0,107.98,19
13-07-2022,1016,2,10,21,45.45,0,0,98.8,19
13-07-2022,1030,5,7,27,41.98,0,1,109.02,27
14-07-2022,1018,5,1,28,33.22,0,0,104.03,31
15-07-2022,1014,3,7,20,20.42,1,0,84.86,24
17-07-2022,1023,3,2,11,34.35,0,1,116.16,11
17-07-2022,1013,3,4,24,27.79,0,1,100.18,21
17-07-2022,1039,1,6,24,46.82,0,0,118.71,19
20-07-2022,1008,2,5,20,5.91,0,0,98.83,20
20-07-2022,1005,5,2,22,47.96,0,0,113.9,25
21-07-2022,1043,5,8,24,31.1,0,1,108.24,27
21-07-2022,1015,1,1,22,30.43,0,0,106.9,23
21-07-2022,1025,2,4,17,25.83,1,0,111.98,27
22-07-2022,1000,3,6,19,25.36,1,0,105.88,35
23-07-2022,1004,1,10,21,20.55,1,0,106.43,27
24-07-2022,1049,5,6,15,9.7,0,0,97.65,17
24-07-2022,1019,5,8,26,49.23,0,0,95.75,31
25-07-2022,1049,2,9,28,18.32,0,0,97.42,24
25-07-2022,1036,4,1,18,13.78,1,0,92.88,25
26-07-2022,1022,5,1,21,36.95,0,0,87.07,17
26-07-2022,1027,5,3,25,14.15,0,0,91.75,30
27-07-2022,1011,5,9,22,39.43,0,0,103.21,20
27-07-2022,1047,5,8,23,17.89,1,0,115.23,28
27-07-2022,1047,3,1,19,17.44,0,0,100.87,22
02-08-2022,1007,5,10,16,26.04,0,0,90.57,16
04-08-2022,1005,4,3,13,8.63,0,0,90.72,3
04-08-2022,1044,3,5,20,47.53,0,0,98.58,27
08-08-2022,1012,5,8,19,33.27,0,0,86.51,25
08-08-2022,1008,3,6,22,32.08,0,0,96.18,19
12-08-2022,1011,2,8,21,26.36,0,0,87.03,14
13-08-2022,1022,4,1,19,10.66,1,0,102.02,28
13-08-2022,1026,3,3,18,41.92,0,0,103.69,13
14-08-2022,1009,5,6,20,26.75,0,0,107.98,19
14-08-2022,1006,4,3,28,13.42,0,1,100.46,30
15-08-2022,1003,4,8,21,23.31,0,0,90.29,24
15-08-2022,1002,2,6,16,17.26,0,0,92.47,11
15-08-2022,1004,3,5,24,7.31,0,0,111.96,27
15-08-2022,1044,5,5,12,41.72,0,0,110.39,11
21-08-2022,1032,2,7,11,8.55,0,0,110.04,13
21-08-2022,1030,4,1,19,28.24,0,0,100.43,21
23-08-2022,1005,1,3,23,31.14,1,1,99.08,39
23-08-2022,1008,4,10,14,32.38,0,0,109.42,17
24-08-2022,1043,2,10,21,19.51,0,0,101.16,24
24-08-2022,1022,1,1,17,8.03,1,1,107.28,34
25-08-2022,1041,5,6,22,13.21,0,0,98.91,24
25-08-2022,1026,1,7,20,31.4,0,0,92.56,21
26-08-2022,1000,5,8,25,32.2,0,0,103,21
27-08-2022,1022,1,10,22,7.36,0,1,101.27,24
27-08-2022,1038,2,3,25,48.35,0,0,112.6,28
29-08-2022,1036,4,5,24,14.25,0,0,94.24,17
30-08-2022,1011,5,6,21,39.59,0,0,91.24,20
30-08-2022,1021,4,10,21,10,1,0,106.91,37
30-08-2022,1011,1,3,18,8.8,0,0,96.82,16
30-08-2022,1012,5,8,31,19.51,1,0,85.45,43
31-08-2022,1008,5,4,14,19.86,1,0,97.86,25
01-09-2022,1041,2,7,15,12.6,0,1,104.87,14
02-09-2022,1030,4,4,18,37.51,0,0,108.16,18
02-09-2022,1016,5,5,26,39.97,0,0,87.51,24
02-09-2022,1023,2,2,27,37.13,1,0,110.85,49
04-09-2022,1032,4,5,15,16.58,0,0,103.76,9
07-09-2022,1020,1,9,22,33.62,1,0,108.78,35
07-09-2022,1035,2,4,20,19.08,0,0,102.62,20
07-09-2022,1011,2,7,25,49.52,0,0,91.59,26
08-09-2022,1017,3,8,22,19.52,0,0,104.2,27
08-09-2022,1024,2,3,26,40.33,0,0,95.73,28
11-09-2022,1025,5,1,21,37.21,0,0,113.45,15
11-09-2022,1016,3,5,24,25.69,0,0,103.09,28
13-09-2022,1045,1,8,22,47.5,1,0,92.5,27
14-09-2022,1049,1,8,19,39.89,0,1,106.06,23
16-09-2022,1014,3,10,20,16.47,0,1,91.74,21
18-09-2022,1027,5,6,19,17.88,1,0,95.27,40
19-09-2022,1003,5,8,18,35.6,0,0,105.8,19
20-09-2022,1044,1,9,16,26.54,1,0,97.79,23
22-09-2022,1038,2,8,13,13.51,0,0,126.96,15
22-09-2022,1049,2,8,23,18.64,1,0,90.79,36
24-09-2022,1029,3,2,12,10.99,0,0,94.68,17
26-09-2022,1022,2,3,21,17.93,0,0,109.99,16
27-09-2022,1029,4,10,20,9.29,1,0,96.6,35
27-09-2022,1014,3,6,14,14.38,1,1,101.78,33
27-09-2022,1020,2,6,23,15.19,0,1,84.15,19
28-09-2022,1007,2,2,24,11.71,0,0,95.45,19
28-09-2022,1009,2,8,18,38.91,0,0,85.39,17
29-09-2022,1045,1,5,22,21,0,0,116.67,20
29-09-2022,1001,4,7,18,14.89,1,0,93.21,26
